Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Dana Vollmer,16,2004,08/29/2004,1,0,0,1
Gabe Woodward,25,2004,08/29/2004,0,0,1,1
Xu Yanwei,20,2004,08/29/2004,0,1,0,1
Yang Yu,19,2004,08/29/2004,0,1,0,1
Mitja Zastrow,27,2004,08/29/2004,0,1,0,1
Zhu Yingwen,22,2004,08/29/2004,0,1,0,1
Klaas-Erik Zwering,23,2004,08/29/2004,0,1,0,1
Sam Arsenault,18,2000,10/01/2000,1,0,0,1
Amanda Beard,18,2000,10/01/2000,0,0,1,1
B. J. Bedford,27,2000,10/01/2000,1,0,0,1
Lindsay Benko,23,2000,10/01/2000,1,0,0,1
Kim Black,21,2000,10/01/2000,1,0,0,1
Gustavo Borges,27,2000,10/01/2000,0,0,1,1
Antje Buschschulte,21,2000,10/01/2000,0,0,1,1
Ashley Callus,21,2000,10/01/2000,1,0,0,1
Dyana Calub,24,2000,10/01/2000,0,1,0,1
Chad Carvin,26,2000,10/01/2000,0,1,0,1
Ian Crocker,18,2000,10/01/2000,1,0,0,1
Nate Dusing,21,2000,10/01/2000,0,1,0,1
Meike Freitag,21,2000,10/01/2000,0,0,1,1
Lars Frölander,26,2000,10/01/2000,1,0,0,1
Chris Fydler,27,2000,10/01/2000,1,0,0,1
Scott Goldblatt,21,2000,10/01/2000,0,1,0,1
Elka Graham,18,2000,10/01/2000,0,1,0,1
Chantal Groot,17,2000,10/01/2000,0,1,0,1
Tommy Hannan,20,2000,10/01/2000,1,0,0,1
Regan Harrison,22,2000,10/01/2000,0,1,0,1
Sara Harstick,19,2000,10/01/2000,0,0,1,1
Thamar Henneken,21,2000,10/01/2000,0,1,0,1
Penny Heyns,25,2000,10/01/2000,0,0,1,1
Misty Hyman,21,2000,10/01/2000,1,0,0,1
Carlos Jayme,20,2000,10/01/2000,0,0,1,1
Louise Jöhncke,24,2000,10/01/2000,0,0,1,1
Anna-Karin Kammerling,19,2000,10/01/2000,0,0,1,1
Johan Kenkhuis,20,2000,10/01/2000,0,0,1,1
Kerstin Kielgaß,30,2000,10/01/2000,0,0,1,1
Bill Kirby,25,2000,10/01/2000,1,0,0,1
Ágnes Kovács,19,2000,10/01/2000,1,0,0,1
Kristy Kowal,21,2000,10/01/2000,0,1,0,1
Daniel Kowalski,25,2000,10/01/2000,1,0,0,1
Jens Kruppa,24,2000,10/01/2000,0,0,1,1
Josefin Lillhage,20,2000,10/01/2000,0,0,1,1
Tom Malchow,24,2000,10/01/2000,1,0,0,1
Roxana Maracineanu,25,2000,10/01/2000,0,1,0,1
Sumika Minamoto,21,2000,10/01/2000,0,0,1,1
Ryan Mitchell,23,2000,10/01/2000,0,1,0,1
Curtis Myden,26,2000,10/01/2000,0,0,1,1
Miki Nakao,22,2000,10/01/2000,0,0,1,1
Justin Norris,20,2000,10/01/2000,0,0,1,1
Junko Onishi,25,2000,10/01/2000,0,0,1,1
Terence Parkin,20,2000,10/01/2000,0,1,0,1
Aaron Peirsol,17,2000,10/01/2000,0,1,0,1
Kieren Perkins,27,2000,10/01/2000,0,1,0,1
Erin Phenix,19,2000,10/01/2000,1,0,0,1
Aleksandr Popov,28,2000,10/01/2000,0,1,0,1
Jamie Rauch,21,2000,10/01/2000,0,1,0,1
Davide Rummolo,22,2000,10/01/2000,0,0,1,1
Thomas Rupprath,23,2000,10/01/2000,0,0,1,1
Sarah Ryan,23,2000,10/01/2000,0,1,0,1
Kaitlin Sandeno,17,2000,10/01/2000,0,0,1,1
Xuxa Scherer,25,2000,10/01/2000,0,0,1,1
Edvaldo Silva Filho,22,2000,10/01/2000,0,0,1,1
Johanna Sjöberg,22,2000,10/01/2000,0,0,1,1
Roman Sludnov,20,2000,10/01/2000,0,0,1,1
Torsten Spanneberg,25,2000,10/01/2000,0,0,1,1
Britta Steffen,16,2000,10/01/2000,0,0,1,1
Staciana Stitts,19,2000,10/01/2000,1,0,0,1
Julia Stowers,18,2000,10/01/2000,1,0,0,1
Malin Svahnström,20,2000,10/01/2000,0,0,1,1
Denys Sylantiev,23,2000,10/01/2000,0,1,0,1
Yasuko Tajima,19,2000,10/01/2000,0,1,0,1
Masami Tanaka,21,2000,10/01/2000,0,0,1,1
Cristina Teuscher,22,2000,10/01/2000,0,0,1,1
Chris Thompson,21,2000,10/01/2000,0,0,1,1
Kirsten Thomson,16,2000,10/01/2000,0,1,0,1
Scott Tucker,24,2000,10/01/2000,0,1,0,1
Franziska van Almsick,22,2000,10/01/2000,0,0,1,1
Mark van der Zijden,26,2000,10/01/2000,0,0,1,1
Jacinta Van Lint,22,2000,10/01/2000,0,1,0,1
Wilma van Rijn-van Hofwegen,29,2000,10/01/2000,0,1,0,1
Manon van Rooijen,18,2000,10/01/2000,0,1,0,1
Erik Vendt,19,2000,10/01/2000,0,1,0,1
Josh Watson,23,2000,10/01/2000,0,1,0,1
Tarnee White,19,2000,10/01/2000,0,1,0,1
Tom Wilkens,24,2000,10/01/2000,0,0,1,1
Marcel Wouda,28,2000,10/01/2000,0,0,1,1
Nina Zhivanevskaya,23,2000,10/01/2000,0,0,1,1
Martijn Zuijdweg,23,2000,10/01/2000,0,0,1,1
Guillaume Bastille,24,2010,02/28/2010,1,0,0,1
Allison Baver,29,2010,02/28/2010,0,0,1,1
Simon Cho,18,2010,02/28/2010,0,0,1,1
Kimberly Derrick,24,2010,02/28/2010,0,0,1,1
Aly Dudek,19,2010,02/28/2010,0,0,1,1
Arianna Fontana,19,2010,02/28/2010,0,0,1,1
Lana Gehring,19,2010,02/28/2010,0,0,1,1
Jessica Gregg,21,2010,02/28/2010,0,1,0,1
Gwak Yun-Gi,20,2010,02/28/2010,0,1,0,1
François Hamelin,23,2010,02/28/2010,1,0,0,1
Travis Jayner,27,2010,02/28/2010,0,0,1,1
Olivier Jean,25,2010,02/28/2010,1,0,0,1
Kim Seong-Il,19,2010,02/28/2010,0,1,0,1
Lee Eun-Byeol,18,2010,02/28/2010,0,1,0,1
Jordan Malone,25,2010,02/28/2010,0,0,1,1
Kalyna Roberge,23,2010,02/28/2010,0,1,0,1
Sun Linlin,21,2010,02/28/2010,1,0,0,1
Tania Vicent,34,2010,02/28/2010,0,1,0,1
Zhang Hui,21,2010,02/28/2010,1,0,0,1
Éric Bédard,29,2006,02/26/2006,0,1,0,1
Byeon Cheon-Sa,18,2006,02/26/2006,1,0,0,1
Marta Capurso,25,2006,02/26/2006,0,0,1,1
Arianna Fontana,15,2006,02/26/2006,0,0,1,1
Gang Yun-Mi,18,2006,02/26/2006,1,0,0,1
Jonathan Guilmette,27,2006,02/26/2006,0,1,0,1
Charles Hamelin,21,2006,02/26/2006,0,1,0,1
Alex Izykowski,22,2006,02/26/2006,0,0,1,1
Jeon Da-Hye,22,2006,02/26/2006,1,0,0,1
J. P. Kepka,21,2006,02/26/2006,0,0,1,1
Alanna Kraus,28,2006,02/26/2006,0,1,0,1
Li Jiajun,30,2006,02/26/2006,0,0,1,1
O Se-Jong,23,2006,02/26/2006,1,0,0,1
Amanda Overland,24,2006,02/26/2006,0,1,0,1
Evgeniya Radanova,28,2006,02/26/2006,0,1,0,1
Kalyna Roberge,19,2006,02/26/2006,0,1,0,1
Seo Ho-Jin,22,2006,02/26/2006,1,0,0,1
Rusty Smith,26,2006,02/26/2006,0,0,1,1
Song Seog-U,22,2006,02/26/2006,1,0,0,1
Mathieu Turcotte,29,2006,02/26/2006,0,1,0,1
Tania Vicent,30,2006,02/26/2006,0,1,0,1
Yang Yang (A),29,2006,02/26/2006,0,0,1,1
Katia Zini,24,2006,02/26/2006,0,0,1,1
Mara Zini,26,2006,02/26/2006,0,0,1,1
An Yulong,23,2002,02/24/2002,0,0,1,1
Michele Antonioli,25,2002,02/24/2002,0,1,0,1
Éric Bédard,25,2002,02/24/2002,1,0,0,1
Steven Bradbury,28,2002,02/24/2002,1,0,0,1
Maurizio Carnino,26,2002,02/24/2002,0,1,0,1
Fabio Carta,24,2002,02/24/2002,0,1,0,1
Isabelle Charest,31,2002,02/24/2002,0,0,1,1
Choi Min-Kyung,19,2002,02/24/2002,1,0,0,1
Marie-Eve Drolet,20,2002,02/24/2002,0,0,1,1
Feng Kai,23,2002,02/24/2002,0,0,1,1
Nicola Franceschina,24,2002,02/24/2002,0,1,0,1
Amélie Goulet-Nadon,19,2002,02/24/2002,0,0,1,1
Guo Wei,18,2002,02/24/2002,0,0,1,1
Ju Min-Jin,18,2002,02/24/2002,1,0,0,1
Alanna Kraus,24,2002,02/24/2002,0,0,1,1
Li Ye,18,2002,02/24/2002,0,0,1,1
Park Hye-Won,18,2002,02/24/2002,1,0,0,1
Nicola Rodigari,20,2002,02/24/2002,0,1,0,1
Rusty Smith,22,2002,02/24/2002,0,0,1,1
Sun Dandan,23,2002,02/24/2002,0,1,0,1
François-Louis Tremblay,21,2002,02/24/2002,1,0,0,1
Tania Vicent,26,2002,02/24/2002,0,0,1,1
Daniela Anschütz-Thoms,35,2010,02/28/2010,1,0,0,1
Jan Blokhuijsen,20,2010,02/28/2010,0,0,1,1
Håvard Bøkko,23,2010,02/28/2010,0,0,1,1
Bob de Jong,33,2010,02/28/2010,0,0,1,1
Anni Friesinger-Postma,33,2010,02/28/2010,1,0,0,1
Annette Gerritsen,24,2010,02/28/2010,0,1,0,1
Mathieu Giroux,24,2010,02/28/2010,1,0,0,1
Brian Hansen,19,2010,02/28/2010,0,1,0,1
Masako Hozumi,23,2010,02/28/2010,0,1,0,1
Clara Hughes,37,2010,02/28/2010,0,0,1,1
Joji Kato,25,2010,02/28/2010,0,0,1,1
Nao Kodaira,23,2010,02/28/2010,0,1,0,1
Jonathan Kuck,19,2010,02/28/2010,0,1,0,1
Simon Kuipers,27,2010,02/28/2010,0,0,1,1
Lee Sang-Hwa,20,2010,02/28/2010,1,0,0,1
Lucas Makowsky,22,2010,02/28/2010,1,0,0,1
Trevor Marsicano,20,2010,02/28/2010,0,1,0,1
Katrin Mattscherodt,28,2010,02/28/2010,1,0,0,1
Denny Morrison,24,2010,02/28/2010,1,0,0,1
Keiichiro Nagashima,27,2010,02/28/2010,0,1,0,1
Christine Nesbitt,24,2010,02/28/2010,1,0,0,1
Maki Tabata,35,2010,02/28/2010,0,1,0,1
Laurine van Riessen,22,2010,02/28/2010,0,0,1,1
Wang Beixing,24,2010,02/28/2010,0,0,1,1
Katarzyna Wójcicka-Bachleda-Curus,30,2010,02/28/2010,0,0,1,1
Jenny Wolf,31,2010,02/28/2010,0,1,0,1
Katarzyna Wozniak,20,2010,02/28/2010,0,0,1,1
Ireen Wüst,23,2010,02/28/2010,1,0,0,1
Luiza Zlotkowska,23,2010,02/28/2010,0,0,1,1
Yekaterina Abramova,23,2006,02/26/2006,0,0,1,1
Matteo Anesi,21,2006,02/26/2006,1,0,0,1
Daniela Anschütz-Thoms,31,2006,02/26/2006,1,0,0,1
Varvara Barysheva,28,2006,02/26/2006,0,0,1,1
Svetlana Boyarkina-Zhurova,34,2006,02/26/2006,1,0,0,1
Arne Dankers,25,2006,02/26/2006,0,1,0,1
Bob de Jong,29,2006,02/26/2006,1,0,0,1
Stefano Donagrandi,29,2006,02/26/2006,1,0,0,1
Dmitry Dorofeyev,29,2006,02/26/2006,0,1,0,1
Steven Elm,30,2006,02/26/2006,0,1,0,1
Renate Groenewold,29,2006,02/26/2006,0,1,0,1
Lee Gang-Seok,20,2006,02/26/2006,0,0,1,1
Galina Likhachova,28,2006,02/26/2006,0,0,1,1
Yekaterina Lobysheva,20,2006,02/26/2006,0,0,1,1
Denny Morrison,20,2006,02/26/2006,0,1,0,1
Christine Nesbitt,20,2006,02/26/2006,0,1,0,1
Lucille Opitz,28,2006,02/26/2006,1,0,0,1
Jason Parker,30,2006,02/26/2006,0,1,0,1
Shannon Rempel,21,2006,02/26/2006,0,1,0,1
Ren Hui,22,2006,02/26/2006,0,0,1,1
Rintje Ritsma,35,2006,02/26/2006,0,0,1,1
Ippolito Sanfratello,32,2006,02/26/2006,1,0,0,1
Marianne Timmer,31,2006,02/26/2006,1,0,0,1
Mark Tuitert,25,2006,02/26/2006,0,0,1,1
Sabine Völker,32,2006,02/26/2006,1,0,0,1
Svetlana Vysokova,33,2006,02/26/2006,0,0,1,1
Wang Manli,32,2006,02/26/2006,0,1,0,1
Justin Warsylewicz,20,2006,02/26/2006,0,1,0,1
Jens Boden,23,2002,02/24/2002,0,0,1,1
Jan Bos,26,2002,02/24/2002,0,1,0,1
Kip Carpenter,22,2002,02/24/2002,0,0,1,1
Joey Cheek,22,2002,02/24/2002,0,0,1,1
Casey FitzRandolph,27,2002,02/24/2002,1,0,0,1
Anni Friesinger-Postma,25,2002,02/24/2002,1,0,0,1
Monique Garbrecht-Enfeldt,33,2002,02/24/2002,0,1,0,1
Renate Groenewold,25,2002,02/24/2002,0,1,0,1
Clara Hughes,29,2002,02/24/2002,0,0,1,1
Cindy Klassen,22,2002,02/24/2002,0,0,1,1
Catriona Le May Doan,31,2002,02/24/2002,1,0,0,1
Gianni Romme,29,2002,02/24/2002,0,1,0,1
Hiroyasu Shimizu,27,2002,02/24/2002,0,1,0,1
Gretha Smit,26,2002,02/24/2002,0,1,0,1
Lasse Sætre,27,2002,02/24/2002,0,0,1,1
Ådne Søndrål,30,2002,02/24/2002,0,0,1,1
Gerard van Velde,30,2002,02/24/2002,1,0,0,1
Chris Witty,26,2002,02/24/2002,1,0,0,1
Monica Abbott,23,2008,08/24/2008,0,1,0,1
Sandy Allen-Lewis,29,2008,08/24/2008,0,0,1,1
Laura Berg,33,2008,08/24/2008,0,1,0,1
Jodie Bowering,26,2008,08/24/2008,0,0,1,1
Crystl Bustos,30,2008,08/24/2008,0,1,0,1
Kylie Cronk,24,2008,08/24/2008,0,0,1,1
Andrea Duran,24,2008,08/24/2008,0,1,0,1
Naho Emoto,22,2008,08/24/2008,1,0,0,1
Jennie Finch,27,2008,08/24/2008,0,1,0,1
Tairia Flowers,27,2008,08/24/2008,0,1,0,1
Motoko Fujimoto,27,2008,08/24/2008,1,0,0,1
Vicky Galindo,24,2008,08/24/2008,0,1,0,1
Kelly Hardie,38,2008,08/24/2008,0,0,1,1
Tanya Harding,36,2008,08/24/2008,0,0,1,1
Megu Hirose,27,2008,08/24/2008,1,0,0,1
Emi Inui,24,2008,08/24/2008,1,0,0,1
Sachiko Ito,32,2008,08/24/2008,1,0,0,1
Lovie Jung,28,2008,08/24/2008,0,1,0,1
Ayumi Karino,23,2008,08/24/2008,1,0,0,1
Kelly Kretschman,28,2008,08/24/2008,0,1,0,1
Lauren Lappin,24,2008,08/24/2008,0,1,0,1
Caitlin Lowe,23,2008,08/24/2008,0,1,0,1
Satoko Mabuchi,26,2008,08/24/2008,1,0,0,1
Jessica Mendoza,27,2008,08/24/2008,0,1,0,1
Yukiyo Mine,20,2008,08/24/2008,1,0,0,1
Masumi Mishina,26,2008,08/24/2008,1,0,0,1
Simmone Morrow,31,2008,08/24/2008,0,0,1,1
Tracey Mosley,34,2008,08/24/2008,0,0,1,1
Rei Nishiyama,24,2008,08/24/2008,1,0,0,1
Stacey Nuveman,30,2008,08/24/2008,0,1,0,1
Cat Osterman,25,2008,08/24/2008,0,1,0,1
Stacey Porter,26,2008,08/24/2008,0,0,1,1
Melanie Roche,37,2008,08/24/2008,0,0,1,1
Hiroko Sakai,29,2008,08/24/2008,1,0,0,1
Rie Sato,27,2008,08/24/2008,1,0,0,1
Justine Smethurst,21,2008,08/24/2008,0,0,1,1
Mika Someya,25,2008,08/24/2008,1,0,0,1
Danielle Stewart,27,2008,08/24/2008,0,0,1,1
Natalie Titcume,32,2008,08/24/2008,0,0,1,1
Yukiko Ueno,26,2008,08/24/2008,1,0,0,1
Natalie Ward,32,2008,08/24/2008,0,0,1,1
Natasha Watley,26,2008,08/24/2008,0,1,0,1
Belinda Wright,27,2008,08/24/2008,0,0,1,1
Kerry Wyborn,30,2008,08/24/2008,0,0,1,1
Eri Yamada,24,2008,08/24/2008,1,0,0,1
Sandy Allen-Lewis,25,2004,08/29/2004,0,1,0,1
Laura Berg,29,2004,08/29/2004,1,0,0,1
Crystl Bustos,26,2004,08/29/2004,1,0,0,1
Marissa Carpadios,26,2004,08/29/2004,0,1,0,1
Amanda Doman,26,2004,08/29/2004,0,1,0,1
Peta Edebone,35,2004,08/29/2004,0,1,0,1
Lisa Fernandez,33,2004,08/29/2004,1,0,0,1
Jennie Finch,23,2004,08/29/2004,1,0,0,1
Tairia Flowers,23,2004,08/29/2004,1,0,0,1
Amanda Freed,24,2004,08/29/2004,1,0,0,1
Fiona Hanes-Crawford,27,2004,08/29/2004,0,1,0,1
Tanya Harding,32,2004,08/29/2004,0,1,0,1
Lori Harrigan,33,2004,08/29/2004,1,0,0,1
Natalie Hodgskin,28,2004,08/29/2004,0,1,0,1
Kazue Ito,26,2004,08/29/2004,0,0,1,1
Yumi Iwabuchi,24,2004,08/29/2004,0,0,1,1
Lovie Jung,24,2004,08/29/2004,1,0,0,1
Kelly Kretschman,24,2004,08/29/2004,1,0,0,1
Jessica Mendoza,23,2004,08/29/2004,1,0,0,1
Masumi Mishina,22,2004,08/29/2004,0,0,1,1
Simmone Morrow,27,2004,08/29/2004,0,1,0,1
Tracey Mosley,30,2004,08/29/2004,0,1,0,1
Emi Naito,24,2004,08/29/2004,0,0,1,1
Stacey Nuveman,26,2004,08/29/2004,1,0,0,1
Leah O'Brien-Amico,29,2004,08/29/2004,1,0,0,1
Cat Osterman,21,2004,08/29/2004,1,0,0,1
Stacey Porter,22,2004,08/29/2004,0,1,0,1
Melanie Roche,33,2004,08/29/2004,0,1,0,1
Haruka Saito,34,2004,08/29/2004,0,0,1,1
Hiroko Sakai,25,2004,08/29/2004,0,0,1,1
Naoko Sakamoto,19,2004,08/29/2004,0,0,1,1
Rie Sato,24,2004,08/29/2004,0,0,1,1
Yuki Sato,23,2004,08/29/2004,0,0,1,1
Juri Takayama,27,2004,08/29/2004,0,0,1,1
Natalie Titcume,28,2004,08/29/2004,0,1,0,1
Jenny Topping,24,2004,08/29/2004,1,0,0,1
Yukiko Ueno,22,2004,08/29/2004,0,0,1,1
Reika Utsugi,41,2004,08/29/2004,0,0,1,1
Natalie Ward,28,2004,08/29/2004,0,1,0,1
Natasha Watley,22,2004,08/29/2004,1,0,0,1
Brooke Wilkins,30,2004,08/29/2004,0,1,0,1
Kerry Wyborn,26,2004,08/29/2004,0,1,0,1
Eri Yamada,20,2004,08/29/2004,0,0,1,1
Noriko Yamaji,33,2004,08/29/2004,0,0,1,1
Sandy Allen-Lewis,21,2000,10/01/2000,0,0,1,1
Christie Ambrosi,23,2000,10/01/2000,1,0,0,1
Misako Ando,29,2000,10/01/2000,0,1,0,1
Laura Berg,25,2000,10/01/2000,1,0,0,1
Jo Brown,28,2000,10/01/2000,0,0,1,1
Jennifer Brundage,27,2000,10/01/2000,1,0,0,1
Crystl Bustos,23,2000,10/01/2000,1,0,0,1
Sheila Cornell-Douty,38,2000,10/01/2000,1,0,0,1
Kerry Dienelt,31,2000,10/01/2000,0,0,1,1
Peta Edebone,31,2000,10/01/2000,0,0,1,1
Sue Fairhurst,26,2000,10/01/2000,0,0,1,1
Lisa Fernandez,29,2000,10/01/2000,1,0,0,1
Selina Follas,24,2000,10/01/2000,0,0,1,1
Yumiko Fujii,28,2000,10/01/2000,0,1,0,1
Fiona Hanes-Crawford,23,2000,10/01/2000,0,0,1,1
Kelly Hardie,30,2000,10/01/2000,0,0,1,1
Tanya Harding,28,2000,10/01/2000,0,0,1,1
Lori Harrigan,30,2000,10/01/2000,1,0,0,1
Danielle Henderson,23,2000,10/01/2000,1,0,0,1
Taeko Ishikawa,24,2000,10/01/2000,0,1,0,1
Kazue Ito,22,2000,10/01/2000,0,1,0,1
Yoshimi Kobayashi,32,2000,10/01/2000,0,1,0,1
Shiori Koseki,28,2000,10/01/2000,0,1,0,1
Mariko Masubuchi,20,2000,10/01/2000,0,1,0,1
Naomi Matsumoto,32,2000,10/01/2000,0,1,0,1
Sally McDermid-McCreedy,35,2000,10/01/2000,0,0,1,1
Jennifer McFalls,28,2000,10/01/2000,1,0,0,1
Simmone Morrow,23,2000,10/01/2000,0,0,1,1
Emi Naito,20,2000,10/01/2000,0,1,0,1
Stacey Nuveman,22,2000,10/01/2000,1,0,0,1
Leah O'Brien-Amico,26,2000,10/01/2000,1,0,0,1
Dot Richardson,38,2000,10/01/2000,1,0,0,1
Melanie Roche,29,2000,10/01/2000,0,0,1,1
Haruka Saito,30,2000,10/01/2000,0,1,0,1
Michele Smith,33,2000,10/01/2000,1,0,0,1
Juri Takayama,23,2000,10/01/2000,0,1,0,1
Hiroko Tamoto,26,2000,10/01/2000,0,1,0,1
Natalie Titcume,24,2000,10/01/2000,0,0,1,1
Reika Utsugi,37,2000,10/01/2000,0,1,0,1
Michelle Venturella,27,2000,10/01/2000,1,0,0,1
Natalie Ward,24,2000,10/01/2000,0,0,1,1
Brooke Wilkins,26,2000,10/01/2000,0,0,1,1
Christa Williams,22,2000,10/01/2000,1,0,0,1
Miyo Yamada,24,2000,10/01/2000,0,1,0,1
Noriko Yamaji,30,2000,10/01/2000,0,1,0,1
Jasey-Jay Anderson,34,2010,02/28/2010,1,0,0,1
Déborah Anthonioz,31,2010,02/28/2010,0,1,0,1
Mathieu Bozzetto,36,2010,02/28/2010,0,0,1,1
Torah Bright,23,2010,02/28/2010,1,0,0,1
Kelly Clark,26,2010,02/28/2010,0,0,1,1
Yekaterina Ilyukhina,22,2010,02/28/2010,0,1,0,1
Benjamin Karl,24,2010,02/28/2010,0,1,0,1
Marion Kreiner,28,2010,02/28/2010,0,0,1,1
Scotty Lago,22,2010,02/28/2010,0,0,1,1
Olivia Nobs,27,2010,02/28/2010,0,0,1,1
Peetu Piiroinen,22,2010,02/28/2010,0,1,0,1
Tony Ramoin,21,2010,02/28/2010,0,0,1,1
Maëlle Ricker,31,2010,02/28/2010,1,0,0,1
Mike Robertson,24,2010,02/28/2010,0,1,0,1
Nicolien Sauerbreij,30,2010,02/28/2010,1,0,0,1
Hannah Teter,23,2010,02/28/2010,0,1,0,1
Seth Wescott,33,2010,02/28/2010,1,0,0,1
Shaun White,23,2010,02/28/2010,1,0,0,1
Gretchen Bleiler,24,2006,02/26/2006,0,1,0,1
Kjersti Buaas,24,2006,02/26/2006,0,0,1,1
Paul-Henri De Le Rue,21,2006,02/26/2006,0,0,1,1
Rosey Fletcher,30,2006,02/26/2006,0,0,1,1
Tanja Frieden,30,2006,02/26/2006,1,0,0,1
Sigi Grabner,31,2006,02/26/2006,0,0,1,1
Lindsey Jacobellis,20,2006,02/26/2006,0,1,0,1
Danny Kass,23,2006,02/26/2006,0,1,0,1
Amelie Kober,18,2006,02/26/2006,0,1,0,1
Markku Koski,24,2006,02/26/2006,0,0,1,1
Dominique Maltais,25,2006,02/26/2006,0,0,1,1
Daniela Meuli,24,2006,02/26/2006,1,0,0,1
Philipp Schoch,26,2006,02/26/2006,1,0,0,1
Simon Schoch,27,2006,02/26/2006,0,1,0,1
Hannah Teter,19,2006,02/26/2006,1,0,0,1
Seth Wescott,29,2006,02/26/2006,1,0,0,1
Shaun White,19,2006,02/26/2006,1,0,0,1
Radoslav Židek,24,2006,02/26/2006,0,1,0,1
Isabelle Blanc,26,2002,02/24/2002,1,0,0,1
Kelly Clark,18,2002,02/24/2002,1,0,0,1
Danny Kass,19,2002,02/24/2002,0,1,0,1
Chris Klug,29,2002,02/24/2002,0,0,1,1
Ross Powers,23,2002,02/24/2002,1,0,0,1
Fabienne Reuteler,22,2002,02/24/2002,0,0,1,1
Richard Richardsson,28,2002,02/24/2002,0,1,0,1
Karine Ruby,24,2002,02/24/2002,0,1,0,1
Philipp Schoch,22,2002,02/24/2002,1,0,0,1
JJ Thomas,20,2002,02/24/2002,0,0,1,1
Lidia Trettel,28,2002,02/24/2002,0,0,1,1
Doriane Vidal,25,2002,02/24/2002,0,1,0,1
Anders Bardal,27,2010,02/28/2010,0,0,1,1
Johan Remen Evensen,24,2010,02/28/2010,0,0,1,1
Tom Hilde,22,2010,02/28/2010,0,0,1,1
Anders Jacobsen,25,2010,02/28/2010,0,0,1,1
Andreas Kofler,25,2010,02/28/2010,1,0,0,1
Wolfgang Loitzl,30,2010,02/28/2010,1,0,0,1
Thomas Morgenstern,23,2010,02/28/2010,1,0,0,1
Michael Neumayer,31,2010,02/28/2010,0,1,0,1
Martin Schmitt,32,2010,02/28/2010,0,1,0,1
Michael Uhrmann,31,2010,02/28/2010,0,1,0,1
Andreas Wank,22,2010,02/28/2010,0,1,0,1
Janne Ahonen,28,2006,02/26/2006,0,1,0,1
Janne Happonen,21,2006,02/26/2006,0,1,0,1
Tommy Ingebrigtsen,28,2006,02/26/2006,0,0,1,1
Tami Kiuru,29,2006,02/26/2006,0,1,0,1
Martin Koch,24,2006,02/26/2006,1,0,0,1
Bjørn Einar Romøren,24,2006,02/26/2006,0,0,1,1
Andreas Widhölzl,29,2006,02/26/2006,1,0,0,1
Janne Ahonen,24,2002,02/24/2002,0,1,0,1
Damjan Fras,28,2002,02/24/2002,0,0,1,1
Stephan Hocke,18,2002,02/24/2002,1,0,0,1
Risto Jussilainen,26,2002,02/24/2002,0,1,0,1
Robert Kranjec,20,2002,02/24/2002,0,0,1,1
Veli-Matti Lindström,18,2002,02/24/2002,0,1,0,1
Primož Peterka,22,2002,02/24/2002,0,0,1,1
Martin Schmitt,24,2002,02/24/2002,1,0,0,1
Michael Uhrmann,23,2002,02/24/2002,1,0,0,1
Peter Žonta,23,2002,02/24/2002,0,0,1,1
Martins Dukurs,25,2010,02/28/2010,0,1,0,1
Anja Huber,26,2010,02/28/2010,0,0,1,1
Jon Montgomery,30,2010,02/28/2010,1,0,0,1
Kerstin Szymkowiak,32,2010,02/28/2010,0,1,0,1
Aleksandr Tretyakov,24,2010,02/28/2010,0,0,1,1
Amy Williams,27,2010,02/28/2010,1,0,0,1
Duff Gibson,39,2006,02/26/2006,1,0,0,1
Mellisa Hollingsworth-Richards,25,2006,02/26/2006,0,0,1,1
Jeff Pain,35,2006,02/26/2006,0,1,0,1
Maya Pedersen,33,2006,02/26/2006,1,0,0,1
Shelley Rudman,24,2006,02/26/2006,0,1,0,1
Gregor Stähli,37,2006,02/26/2006,0,0,1,1
Alex Coomber,28,2002,02/24/2002,0,0,1,1
Tristan Gale,21,2002,02/24/2002,1,0,0,1
Lea Ann Parsley,33,2002,02/24/2002,0,1,0,1
Martin Rettl,28,2002,02/24/2002,0,1,0,1
Jim Shea Jr.,33,2002,02/24/2002,1,0,0,1
Gregor Stähli,33,2002,02/24/2002,0,0,1,1
Nasser Al-Attiya,41,2012,08/12/2012,0,0,1,1
Fehaid Al-Deehani,45,2012,08/12/2012,0,0,1,1
Danka Barteková,27,2012,08/12/2012,0,0,1,1
Jamie Beyerle-Gray,28,2012,08/12/2012,1,0,0,1
Sylwia Bogacka,30,2012,08/12/2012,0,1,0,1
Giovanni Cernogoraz,29,2012,08/12/2012,1,0,0,1
Chen Ying,34,2012,08/12/2012,0,1,0,1
Choi Yeong-Rae,30,2012,08/12/2012,0,1,0,1
Lionel Cox,31,2012,08/12/2012,0,1,0,1
Håkan Dahlby,46,2012,08/12/2012,0,1,0,1
Rajmond Debevec,49,2012,08/12/2012,0,0,1,1
Ding Feng,25,2012,08/12/2012,0,0,1,1
Matt Emmons,31,2012,08/12/2012,0,0,1,1
Massimo Fabbrizi,34,2012,08/12/2012,0,1,0,1
Celine Goberville,25,2012,08/12/2012,0,1,0,1
Anders Golding,28,2012,08/12/2012,0,1,0,1
Guo Wenjun,28,2012,08/12/2012,1,0,0,1
Vincent Hancock,23,2012,08/12/2012,1,0,0,1
