class,b1,b2,b3,b4,b5,b6,b7,b8,b9,pred_minus_obs_H_b1,pred_minus_obs_H_b2,pred_minus_obs_H_b3,pred_minus_obs_H_b4,pred_minus_obs_H_b5,pred_minus_obs_H_b6,pred_minus_obs_H_b7,pred_minus_obs_H_b8,pred_minus_obs_H_b9,pred_minus_obs_S_b1,pred_minus_obs_S_b2,pred_minus_obs_S_b3,pred_minus_obs_S_b4,pred_minus_obs_S_b5,pred_minus_obs_S_b6,pred_minus_obs_S_b7,pred_minus_obs_S_b8,pred_minus_obs_S_b9
h ,81,33,56,109,55,95,100,26,61,25.86,22.99,40,-9.52,-27.78,-33.04,-24.53,6.13,-5.33,-12.49,-0.85,2.86,-17.39,-1.27,-3.74,-17.28,2.12,-0.14
s ,65,28,51,99,49,88,78,24,54,45.08,22.3,41.8,-4.87,-23.87,-29.23,-3.3,5.73,0.85,-13.94,-2.43,-4.5,-14.84,-1.29,-4.59,-13.26,-1.71,-3.74
h ,79,27,53,115,47,92,89,24,57,34.07,19.5,36.89,-28.43,-23.27,-36.37,-13.44,3.24,-4.74,-18.88,0.11,-3.07,-11.07,-0.6,-2.42,-15.76,-0.24,-1.52
d ,57,44,67,135,58,111,112,25,55,60.76,10.38,35.83,-37.67,-32.5,-50.27,-34.52,5.02,0.85,-22.2,-2.72,-7,-19.67,-1,-4.22,-18.81,-2.16,-4.66
s ,64,27,51,99,50,96,89,26,58,56.23,29.79,55.97,2.27,-23.27,-33.03,-10.79,6.53,0.32,-19.99,-6.19,-10.83,-18.34,-1.77,-5.75,-15.9,-4.67,-6.65
s ,47,25,48,86,46,88,60,21,50,64.01,25.77,46.48,12.39,-20.75,-28.49,14.59,9.36,5.74,-23.82,-4.02,-6.88,-36.72,-3.27,-8.51,-27.68,-5.22,-7.36
o ,58,58,76,109,80,121,64,48,70,59.55,-4.03,25.95,-11.91,-54.61,-60.54,13.63,-18.2,-14.35,-22.27,-2.19,-6.03,-19.7,-0.9,-3.99,-19.17,-1.93,-4.48
s ,66,27,50,96,47,87,78,22,53,47.68,20.05,40.16,-3.84,-22.62,-30.04,-1.19,6.81,1.02,-17.88,-0.51,-3.03,-13.77,-2.05,-3.93,-11.3,-1.68,-3.01
h ,81,32,57,120,56,107,105,28,63,39.6,25,50.2,-16.28,-28.61,-43.4,-26.41,6.51,-2.69,-23.35,-6.07,-11.21,-24.13,-2.77,-7.07,-18.7,-6.65,-8.99
s ,40,25,47,81,49,87,74,24,55,69.79,24.89,45.49,13.05,-23.97,-28.46,0.32,5.44,-0.46,-28.43,-1.28,-5.49,-25.56,-1.42,-5.88,-27.55,-2.63,-5.26
o ,53,67,97,76,88,130,54,56,92,64.01,-14.03,2.69,20.05,-63.04,-70.47,24.33,-27.03,-37.12,-22.74,0.14,-2.32,-20.47,-0.54,-3.14,-20.83,-1.13,-3.84
s ,58,27,49,95,46,89,81,22,55,50.55,23.7,44.1,-0.59,-20.87,-30.22,-7.63,7.6,-0.41,-13.32,-3.52,-4.35,-15.3,-1.69,-4.49,-15.93,-3.31,-5.5
d ,47,38,60,121,57,108,91,25,54,70.75,14.9,39.4,-24.32,-32.09,-48.69,-11.99,4.14,1.06,-23.04,0.36,-1.65,-20.31,-0.44,-2.86,-21.01,-1.15,-3.95
s ,50,27,50,79,45,84,68,23,54,62.24,20.9,41.68,15.56,-20.35,-25.68,7.93,6.19,0.54,-30.47,-2.34,-7.63,-29.62,-1.71,-5.83,-26.83,-0.92,-2.18
s ,66,29,53,99,52,96,89,25,57,51.71,24.54,48.11,1.82,-26.67,-35.51,-9.96,4.93,-1.27,-19.44,-1.27,-4.94,-15.68,-0.5,-3.61,-15.16,-1.06,-3.76
h ,80,28,54,115,52,95,93,24,58,35.9,23.96,42.79,-22.48,-28.24,-38.08,-14.27,3.82,-4.44,-20.87,1.88,1.84,-15.21,0.83,-0.26,-20.32,0.55,-2.29
s ,53,26,50,91,50,94,66,22,53,65.03,27.79,51.52,9.7,-24.66,-33.49,13.24,7.92,2.75,-27.07,-3.05,-7.77,-35.23,-2.38,-7.44,-26.98,-3.24,-5.96
h ,89,30,58,122,54,101,102,25,59,32.05,23.21,43.07,-20.01,-28.4,-40.46,-19.41,5.38,-2.23,-26.01,0.72,-2.45,-24.49,-0.96,-3.86,-24.05,-1.86,-5.44
s ,46,28,50,82,51,90,67,24,54,67.16,22.52,45.32,17.56,-25.99,-30.28,9.21,5.74,1.17,-31.34,-0.8,-5.32,-40.37,-2.43,-7.94,-34.14,-3.82,-6.47
d ,53,45,66,102,55,100,89,25,54,57.37,4.92,27.73,-4.26,-30.05,-41,-15.03,4.47,0.73,-19.14,-0.45,-3.55,-22.47,-0.99,-4.81,-18.85,-0.54,-3.02
d ,54,50,69,101,64,107,104,26,55,64.92,3.86,32.05,-1.69,-38.85,-46.97,-23.48,3.46,0.47,-24.38,-0.08,-2.97,-22.39,-0.82,-3.83,-22.89,-1.58,-4.54
s ,61,29,52,96,55,100,78,26,57,58.07,24.23,48.23,2.59,-29.96,-40.32,2.7,3.27,-1.66,-23.97,1.38,-1.56,-20,0.21,-2.51,-21.23,0.2,-3.25
h ,85,29,55,122,55,103,101,26,62,34.29,25.14,47.14,-24.14,-29.72,-42.15,-20.86,2.45,-7.41,-23.62,0.21,-2.47,-19.65,-0.72,-3.93,-21.59,-0.18,-3.34
d ,46,41,61,117,58,109,86,24,55,71.9,12.26,39.3,-16.21,-32.81,-48.79,-6.57,5.65,0.48,-23.73,-1.15,-5.57,-25.8,-1.15,-4.97,-22.48,-2.03,-4.66
s ,59,28,53,95,49,91,77,23,54,53.27,22.12,41.73,3.5,-24.11,-31.56,-1.79,6.62,1.01,-17.2,-1.35,-3.23,-20.21,-1.25,-6.04,-19.1,1.25,-1.43
h ,76,29,54,115,49,95,97,24,60,36.6,21,40.8,-17.27,-24.3,-35.1,-22.19,5.6,-5.09,-20.95,-0.72,-3.97,-24.83,-1.08,-6.17,-20.37,-1.34,-3.89
s ,62,27,49,90,46,86,82,24,55,49.97,21.2,43.67,4.47,-21.28,-27.2,-5.54,5.43,-0.05,-21.31,-2.03,-5.75,-12.54,-0.73,-3.09,-14.55,-1.76,-3.87
d ,57,42,61,107,66,106,101,25,54,62.14,11.83,39.99,-7.93,-40.9,-46.09,-20.14,4.31,1.38,-24.06,0.61,-2.21,-20.79,-0.5,-3.23,-22.28,-0.88,-4.12
o ,67,48,68,110,72,115,81,34,66,51.87,5.77,33.27,-11.84,-46.93,-54.94,-0.7,-5.02,-10.97,-23.25,0.65,-1.84,-19.67,-0.48,-3.16,-21.6,-0.63,-3.77
d ,53,48,65,87,60,98,95,25,54,57.03,0.61,27.42,8.72,-35.13,-39.23,-20.53,4.43,0.79,-19.23,-0.77,-5.12,-17.62,-1.03,-4.42,-16.84,-1.09,-3.24
s ,63,29,52,97,55,101,79,24,58,55.96,24.94,49.71,1.09,-29.88,-40.69,1.18,4.9,-3.05,-21.48,0.56,-1.71,-17.89,-0.45,-2.56,-20.45,-0.54,-3.5
o ,74,40,61,110,66,110,111,29,68,45.06,14.11,40.33,-11.05,-40.91,-50.03,-30.16,0.21,-12.73,-23.93,0.49,-2.37,-20.46,-0.52,-3.26,-22.27,-0.89,-4.06
d ,62,51,68,99,63,98,115,27,57,51.45,-3.04,25.05,-3.08,-38.33,-38.84,-36.86,2.33,-1.87,-23.41,-1.64,-6.52,-21.62,-1.39,-5.74,-20.49,-1.22,-3.76
s ,51,28,50,86,45,86,63,22,50,62.15,20.37,43.8,9.59,-20.19,-26.36,14.67,7.52,5.3,-27.2,-3.47,-8.4,-30.45,-2.53,-8.66,-23.76,-0.93,-3.17
o ,72,77,92,98,98,125,96,39,70,41.46,-28.91,1.47,-2.01,-73.29,-65.54,-17.56,-9.56,-14.62,-22.7,-1.8,-6.67,-20.66,-1.37,-5.89,-20.25,-1.43,-4.22
d ,46,47,72,81,57,94,88,26,53,63.97,1.39,20.44,14.62,-32.22,-35.23,-13.39,3.47,1.88,-20.1,-0.65,-5.92,-17.73,-0.96,-4.51,-17.3,-0.9,-3.1
o ,59,67,81,85,81,114,86,38,68,53.11,-18.74,12.34,10.15,-56.22,-54.7,-9.19,-8.43,-12.76,-21.3,-1.83,-6.49,-18.61,-1.32,-5.49,-18.37,-1.65,-4.16
s ,54,27,50,93,46,86,80,23,53,55.22,21.5,42.8,5.22,-21.1,-27.14,-6.65,6.48,1.87,-15.61,-1.5,-5.8,-12.59,-0.69,-4.42,-12.18,-1.8,-4.45
d ,49,38,58,100,62,108,106,26,57,70.53,17.42,44.9,0.06,-36.84,-47.72,-24.47,3.29,-1.64,-25.04,-0.83,-3.82,-22.12,-0.86,-3.97,-23.79,-1.6,-4.53
h ,86,30,57,119,57,104,101,25,62,34.17,26.44,46.83,-17.7,-31.72,-43.39,-17.3,4.11,-6.56,-25.69,-1.18,-4.63,-21.69,-0.95,-3.98,-25.36,-1.36,-4.51
s ,59,27,51,94,46,87,76,24,54,54.98,21.59,43.47,2.57,-20.98,-26.45,3.47,5.56,1.78,-20.44,-1.91,-5.9,-20.01,-1.26,-5.56,-19.57,-1.7,-5.04
s ,59,28,51,93,57,98,86,26,59,60.96,28.2,52.66,7.43,-31.79,-37.53,-3.45,3.19,-3.64,-25.47,-0.24,-4.57,-18.6,-0.96,-3.52,-23.25,-1.44,-4.28
o ,69,72,94,90,79,120,79,43,72,43.71,-22.33,0.06,9.54,-54.27,-60.89,-3.23,-13.67,-17.18,-21.29,-0.48,-4.03,-28.07,-1.29,-6.06,-19.32,-0.67,-3.45
d ,54,46,73,107,61,107,97,25,52,64.83,7.09,26.61,-5.23,-35.99,-47.02,-16.52,4.26,3.15,-24.22,0.27,-2.29,-25.15,-0.87,-4.29,-23.19,-1.56,-4.28
s ,58,30,52,91,50,90,68,23,53,55.28,19.94,42.55,8.99,-25.21,-30.79,8.27,6.39,1.89,-22.52,-0.27,-4.55,-33.18,-1.63,-7.13,-19.05,-0.53,-3.21
h ,85,30,57,117,49,94,93,25,60,28.92,18.69,37.62,-20.88,-23.78,-32.93,-13.08,4.26,-4,-21.87,-2.2,-6.5,-19.5,-1.68,-6.94,-20.61,-1.24,-4.91
h ,71,29,55,109,47,93,102,25,58,37.6,19,37.6,-6.44,-22,-34.2,-31.39,4.2,-3.4,-17.16,0.25,-5.07,-23.18,-1.03,-4.48,-12.95,-0.73,-3.06
h ,73,28,53,112,49,93,98,24,60,37.88,20.65,39.71,-16.52,-25.04,-34.47,-25.45,4.18,-6.13,-19.52,0,-2.98,-20.99,-0.39,-5.04,-16.54,0.23,-2.69
s ,59,29,52,94,57,102,93,26,58,60.47,26.35,50.82,6.11,-31.85,-41.75,-11.48,3.21,-2.7,-26.15,2.23,-1.82,-13.57,0.04,-2.06,-21.93,-1.31,-4.4
s ,51,32,55,77,45,85,68,24,52,58.24,16.19,37.27,19.92,-20.28,-26.25,6.12,5.46,2.91,-32.24,-2.1,-8.85,-29.88,-2.04,-6.98,-25.53,0.17,-1.84
h ,86,28,53,123,54,99,108,25,60,34.15,24.67,45.96,-19.36,-29.33,-39.07,-26.6,3.21,-5.91,-25.7,-0.06,-2.75,-27.53,-0.69,-4.67,-23.96,-0.43,-3.09
d ,54,48,66,87,63,98,123,27,58,57.56,1.35,27.57,12.04,-38.33,-39.11,-48.28,2.17,-3.38,-20.04,-0.61,-4.32,-22.48,-0.85,-4.92,-17.98,-0.31,-2.84
h ,92,30,57,121,48,95,101,24,60,27.79,18.25,37.38,-18.9,-23.19,-34.44,-12.53,7.72,-1.44,-25.49,-1.46,-5.92,-20.99,-0.98,-5.94,-26.05,-3.18,-7.15
d ,53,40,60,101,59,102,97,25,54,64.25,12.01,38.11,1.42,-34.09,-42.35,-17.37,4.26,1.04,-23.67,-0.48,-4.12,-27.76,-1.14,-5.03,-23,-1.45,-4.09
s ,66,28,52,98,47,88,83,25,57,51.09,20.24,42.22,0.63,-22.18,-27.75,-0.59,5.46,-0.29,-17.52,-1.06,-5.42,-9.42,-0.38,-4.25,-12.75,-1.27,-4.55
s ,65,28,52,93,49,90,74,24,56,46.96,21.66,42.08,6.71,-24.22,-31.02,1.5,5.36,-1.17,-20.99,-0.98,-4.89,-21.32,-0.74,-4.57,-17.49,0.37,-1.98
h ,83,29,54,120,51,95,108,25,61,36.19,21,42,-14.86,-26.2,-35.4,-24.68,4.21,-5.81,-27.05,-0.83,-5.72,-30.5,-1.17,-5.8,-26.93,-1.03,-4.09
s ,56,26,50,94,50,87,83,24,54,53.57,21.97,43.47,2,-25.22,-27.11,-8.04,5.69,1.43,-12.99,0.23,-5.97,-14.35,-0.55,-5.4,-14.51,-2.68,-5.15
h ,82,30,56,113,48,94,98,24,60,29.68,18.15,38.23,-17.56,-23.01,-33.02,-20.34,6.01,-3.83,-17.85,-0.83,-6.74,-15.41,-1.11,-6.7,-17.78,-2.53,-5.31
s ,56,26,51,96,55,99,72,22,54,63.07,28.12,50.19,5.71,-29.87,-38.94,9.31,7.35,1.33,-22.55,1.43,-2.64,-27.76,-2.02,-5.59,-25.3,-3.26,-5.95
d ,58,62,86,85,61,93,88,24,53,45.29,-14.57,5.06,11.38,-36.43,-34.66,-18.39,5.31,1.53,-9.95,-0.19,-3.63,-16.56,-0.73,-4.12,-10.08,-1.78,-3.64
o ,55,58,76,89,84,118,83,36,69,62.31,-5.84,22.37,13.68,-59.12,-58.43,-2.94,-6.73,-13.94,-23.2,-0.1,-3.45,-27.1,-1,-4.68,-22.83,-1.41,-4.02
h ,65,28,53,100,47,90,98,25,58,35.74,19.29,37.57,-2.93,-22.56,-32.41,-33.15,3.9,-4.47,-7.81,-0.18,-3.18,-17.45,-0.65,-3.4,-5.43,-1.22,-2.56
s ,62,28,51,96,46,89,87,24,56,45.26,19.6,39.9,-0.36,-21.47,-30.92,-14.43,5.45,-1.11,-12.49,-0.84,-3.09,-4.75,-0.13,-2.29,-11.45,-1.57,-4.16
s ,56,27,51,93,60,101,71,24,55,62.77,27.03,50.2,6.91,-34.9,-40.95,9.68,5.23,0.24,-23.82,2.07,-1,-35.11,-2.05,-6.94,-28.6,-2.97,-5.27
s ,58,25,48,98,46,89,73,22,53,55.25,25.26,47,3.64,-21.21,-29.95,3.52,7.18,1.73,-14.78,-3.71,-5.5,-20.27,-1.61,-5.54,-14.66,-2.17,-4.37
h ,82,29,54,119,50,98,105,25,59,34.9,23.4,45,-15.9,-25.4,-38.8,-24.31,4.1,-4.1,-23.78,-1.23,-6.22,-28.14,-0.99,-5.08,-24.09,-1.2,-3.95
d ,55,61,90,75,55,91,84,24,54,57.14,-13.14,2.87,20.93,-30.36,-31.88,-6.73,5.47,1.28,-20.84,-1.47,-5.72,-18.73,-1.18,-5.22,-17.81,-1.28,-3.87
d ,66,69,93,90,63,100,99,25,57,45.97,-20.93,0.18,6.34,-38.24,-40.56,-21.73,4.74,-1.5,-19.64,-1.45,-5.6,-17.03,-1.08,-5.15,-16.77,-1.46,-4.03
h ,79,30,55,115,51,96,109,25,59,35.4,22.19,41.2,-3.31,-25.44,-36.8,-28.94,5.27,-3.66,-22.4,-3.91,-6.61,-36.29,-2.13,-5.77,-23.32,-2.09,-4.13
h ,69,27,53,106,47,90,87,24,55,35.81,19.86,36.67,-18.69,-23.24,-33.71,-18.59,4.87,-0.88,-13.32,0.16,-2.39,-7.12,0.02,-2.06,-10.04,-0.74,-2.88
h ,80,29,55,116,50,95,102,25,59,34.08,21.8,40.86,-14.76,-24.92,-35.71,-24.53,4,-4.19,-21.98,-2.12,-6.03,-26.08,-1.67,-5.82,-20.91,-0.9,-3.7
